district_osm_id,district_name,state_name,latitude,longitude,annual_rainfall_normal_mm,monsoon_rainfall_normal_mm,annual_rainfall_2022_mm,historical_landslides_1998_2022_state_count,elevation_m,slope_deg,terrain_data_status,prototype_risk_score,prototype_risk_level,label_status
2026355,Jorhat,Assam,26.711334498090185,94.26359278000224,2296.8,1523.4,2375.7,2569,102.0,0.26,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
1791256,Kamrup,Assam,26.10241529697627,91.41488355874154,2296.8,1523.4,2375.7,2569,43.0,1.26,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9521878,Kamrup Metropolitan,Assam,26.129397619340367,91.88803657297638,2296.8,1523.4,2375.7,2569,174.0,4.16,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2025924,Karbi Anglong,Assam,26.15709835184388,93.4048912995225,2296.8,1523.4,2375.7,2569,527.0,14.05,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2026005,Karimganj,Assam,24.579295849344724,92.38017669728868,2296.8,1523.4,2375.7,2569,62.0,4.61,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
1789229,Kokrajhar,Assam,26.49304146308297,90.11904588454055,2296.8,1523.4,2375.7,2569,50.0,0.39,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2026356,Lakhimpur,Assam,27.17617036524737,94.14113332067387,2296.8,1523.4,2375.7,2569,87.0,0.0,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9521299,Majuli,Assam,27.00017877187452,94.29160703512136,2296.8,1523.4,2375.7,2569,86.0,0.52,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2025921,Marigaon,Assam,26.28175299836131,92.28369037395343,2296.8,1523.4,2375.7,2569,53.0,2.3,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2025972,Nagaon,Assam,26.36316079176948,92.75395722758157,2296.8,1523.4,2375.7,2569,63.0,1.9,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
1791238,Nalbari,Assam,26.3707006489154,91.38169046246996,2296.8,1523.4,2375.7,2569,45.0,0.26,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2026443,Sivasagar,Assam,26.97022989651813,94.66027341033252,2296.8,1523.4,2375.7,2569,94.0,0.39,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2026041,Sonitpur,Assam,26.759200845854306,92.69900805426164,2296.8,1523.4,2375.7,2569,80.0,1.41,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
16702229,Tamulpur,Assam,26.65475252154044,91.62397610479944,2296.8,1523.4,2375.7,2569,74.0,0.39,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
