location_id,location_name,category,latitude,longitude,source
1334500301,Basugaon,railway_station,26.460047,90.4197069,OpenStreetMap/Geofabrik North-Eastern Zone
1403967928,Barpeta Road,railway_station,26.5021259,90.9645713,OpenStreetMap/Geofabrik North-Eastern Zone
1403967944,Pathsala,railway_station,26.497126,91.1777196,OpenStreetMap/Geofabrik North-Eastern Zone
1403967947,Sorbhog,railway_station,26.4945638,90.8887291,OpenStreetMap/Geofabrik North-Eastern Zone
1420700033,Rani Gaidinliu station,railway_station,24.7423346,93.2370957,OpenStreetMap/Geofabrik North-Eastern Zone
1420700233,Tupul,railway_station,24.8048991,93.6747553,OpenStreetMap/Geofabrik North-Eastern Zone
1420700787,Shribar,railway_station,24.8165348,93.0099493,OpenStreetMap/Geofabrik North-Eastern Zone
1420700805,Khongsang,railway_station,24.8358361,93.4882544,OpenStreetMap/Geofabrik North-Eastern Zone
1425184439,Mijicajan Airstrip,airport,26.823096,93.2164283,OpenStreetMap/Geofabrik North-Eastern Zone
1437215872,Dhemaji,railway_station,27.4894645,94.5425052,OpenStreetMap/Geofabrik North-Eastern Zone
1437223034,Ahunli Airstrip,airport,28.8337912,95.9605256,OpenStreetMap/Geofabrik North-Eastern Zone
1437223034,Ahunli Airstrip,airport,28.8337912,95.9605256,OpenStreetMap/Geofabrik North-Eastern Zone
1449670747,Mendipathar,railway_station,25.914975,90.6338596,OpenStreetMap/Geofabrik North-Eastern Zone
1455773215,SRGT Parking Lot,bus_station,25.5824923,91.8904024,OpenStreetMap/Geofabrik North-Eastern Zone
1472729172,বাল্লা,railway_station,24.0848133,91.5933871,OpenStreetMap/Geofabrik North-Eastern Zone
1495316531,Lanka,railway_station,25.9157407,92.9576495,OpenStreetMap/Geofabrik North-Eastern Zone
1495316536,Hojai,railway_station,26.001873,92.8520353,OpenStreetMap/Geofabrik North-Eastern Zone
1495483775,New Sisibargaon,railway_station,27.5357587,94.6848265,OpenStreetMap/Geofabrik North-Eastern Zone
1495483820,Boxirhat,railway_station,26.3069121,89.7375178,OpenStreetMap/Geofabrik North-Eastern Zone
1496087870,Harmuti Junction,railway_station,27.1190192,93.8606073,OpenStreetMap/Geofabrik North-Eastern Zone
1498837932,Walong Advanced Landing Ground,airport,28.1286766,97.0189209,OpenStreetMap/Geofabrik North-Eastern Zone
1498837932,Walong Advanced Landing Ground,airport,28.1286766,97.0189209,OpenStreetMap/Geofabrik North-Eastern Zone
1516328090,,helipad,24.062106,91.6039941,OpenStreetMap/Geofabrik North-Eastern Zone
