node_id,latitude,longitude
417,26.1786385,91.7505926
418,26.1588043,91.7412691
419,26.1850221,91.7445979
420,26.1831339,91.7378712
421,26.1860312,91.7421853
422,26.1805901,91.7457662
423,26.1892151,91.7459373
424,26.1886374,91.7444417
425,26.1831866,91.745363
426,26.1859242,91.7490832
427,26.1914012,91.7569495
428,26.1942828,91.7544298
429,26.1708096,91.7328893
430,26.1655693,91.7312703
431,26.1792378,91.7349532
432,26.1592446,91.7413195
433,26.1823657,91.7373237
434,26.1742353,91.7306588
435,26.1857656,91.7406557
436,26.123029,91.7484717
437,26.1116753,91.7495353
438,26.1410732,91.762125
439,26.1113965,91.7881884
440,26.1169767,91.786605
441,26.1229225,91.7870096
442,26.1416003,91.7571039
443,26.1476926,91.7408153
444,26.1231674,91.7869841
445,25.6275201,91.8870239
446,25.6387432,91.8940178
447,25.6509371,91.8935202
448,25.6530152,91.8982141
449,25.671516,91.905378
450,25.721011,91.891346
451,25.736588,91.884696
452,26.2418191,92.0781031
453,26.1379355,92.0124083
454,26.2006631,92.0216945
455,26.2018622,92.0213682
456,26.1870454,92.2663121
457,26.178509,92.300369
458,26.2033018,92.3526399
459,26.1827781,92.2259792
460,26.1655796,92.3088899
461,26.1602301,92.3372691
462,26.1547101,92.3230524
463,26.167953,92.335452
464,26.170774,92.348868
465,26.1795709,92.3487176
466,26.2078949,92.3426455
467,26.197404,92.312404
468,26.1063184,91.5890801
469,27.0082216,88.2595487
470,27.1299409,88.285788
471,27.086373,88.4541529
472,27.212908,88.642266
473,27.1379603,88.3961478
474,28.102731,95.3049363
475,27.7575953,95.5920456
476,24.8311758,92.8018627
477,24.8735729,92.580548
478,26.2009439,89.7784978
479,26.3632711,90.6365775
480,24.3153771,92.1033183
481,24.3377631,92.1576273
482,24.3515791,92.2242755
483,24.802548,93.9385689
484,25.3521349,94.3738829
485,25.9039759,93.7012486
486,27.001833,93.9020014
487,27.39184,94.7774914
488,27.4711334,94.7025337
489,27.4452996,94.2612766
490,27.6262359,95.5582452
491,26.8401797,94.4813517
492,27.7558914,96.3584671
493,27.8796575,96.3635433
494,27.7805153,96.3492386
495,27.756868,96.3591885
496,28.2818501,97.0180095
497,28.2925079,97.0075655
498,27.3741277,94.7848501
499,27.468647,94.7051631
500,27.526583,94.7269508
501,27.3982683,94.8150759
502,27.5561776,94.737131
503,27.3774446,94.793199
504,28.0710685,95.3225761
505,28.0912128,95.2956301
506,28.1736324,95.0220498
507,28.2151263,94.9932281
508,27.985676,94.2316407
509,28.1697664,94.7984177
510,28.2253079,94.8913515
511,27.8419437,95.2212535
512,27.7098737,94.8646524
513,28.0987585,94.7985753
514,27.1433837,93.7493482
515,27.1019021,93.6292714
516,27.239696,93.8062762
517,26.8587332,93.4472173
518,26.7460641,93.2184277
519,23.8114729,92.7689894
520,24.8572961,92.6060919
521,24.246945,92.6827669
522,27.9074473,94.2527997
523,26.6554661,92.7710637
524,26.818886,92.7801464
525,27.304631,88.1871917
526,27.3086021,88.1504667
527,26.554621,91.594632
528,26.7918932,91.5362526
529,27.598789,95.5567668
530,27.8878675,96.0420686
531,28.122866,95.6265203
532,27.9465457,95.9930853
533,28.0632391,95.9736087
534,27.4868494,95.4296303
535,28.1341441,95.7297376
536,28.063978,95.9803653
537,28.0501884,96.0003141
538,27.8883446,96.027554
539,27.4803615,94.9163643
540,27.4263425,94.8945782
541,27.2193339,88.3105289
542,27.231317,88.25164
543,27.2324,88.252305
544,27.304335,88.2491271
545,27.3051149,88.2492789
546,27.2988324,88.2507714
547,27.3232013,88.2207368
548,27.2894965,88.3536869
549,27.1939907,88.3914122
550,27.2729142,88.3737743
551,27.2437751,88.4662997
552,27.2413586,88.476237
553,27.2430549,88.4771121
554,27.3680169,88.6170935
555,27.4038484,88.5513575
556,27.4782145,88.527145
557,27.4932212,88.5294251
558,27.2427544,88.4785431
559,27.298545,88.561986
560,27.296192,88.5639418
561,27.354769,95.31514
562,27.360219,95.322962
563,27.355826,95.319561
564,27.3315762,95.3117592
565,27.35576,95.320237
566,27.353254,95.327114
567,27.355598,95.325601
568,27.353416,95.327125
569,27.353416,95.327554
570,27.355703,95.323273
571,27.360943,95.320301
572,27.3622612,95.3183503
573,27.362325,95.322951
574,27.3605902,95.322962
575,27.361629,95.320269
576,27.3572391,95.335867
577,27.4557181,95.3581041
578,27.3576085,95.3339285
579,27.358342,95.33383
580,27.362363,95.326749
581,27.3634196,95.3248219
582,27.363421,95.325043
583,27.363392,95.32676
584,27.363924,95.3267654
585,27.365565,95.324786
586,27.3668426,95.322884
587,27.365098,95.321406
588,27.364955,95.320462
589,27.360972,95.317093
590,27.361178,95.3156131
591,27.3686142,95.3199879
592,27.3669727,95.3103485
593,27.358018,95.313853
594,27.3680496,95.310463
